ID;Highly_Unsaturated_and_Phenolic_HighOC_(#);Highly_Unsaturated_and_Phenolic_LowOC_(#);Peptide_like_(#);Polyphenolic_HighOC_(#);Polyphenolic_LowOC_(#);Sugars_w_X_(#);Num.formula_(%);Condensed_aromatics.X_(%);Highly_Unsaturated_and_Phenolic_HighOC_(%);Highly_Unsaturated_and_Phenolic_LowOC_(%);Peptide_like_(%);Polyphenolic_HighOC_(%);Polyphenolic_LowOC_(%);Sugars_w_X_(%);CHON_(#);AveMass;Mass_WeightedAve;HC_WeightedAve;OC_WeightedAve;NC_WeightedAve;NOSC_WeightedAve;AImod_WeightedAve;AI_WeightedAve;Condensed_aromatics.X_(%RA);Highly_Unsaturated_and_Phenolic_HighOC_(%RA);Highly_Unsaturated_and_Phenolic_LowOC_(%RA);Peptide_like_(%RA);Polyphenolic_HighOC_(%RA);Polyphenolic_LowOC_(%RA);Sugars_w_X_(%RA);Polyphenolic_(%RA);Highly_Unsaturated_and_Phenolic_(%RA)
M3T0;384;270;31;11;8;0;704;0;54.5454545454545;38.3522727272727;4.40340909090909;1.5625;1.13636363636364;0;704;464.79187243608;422.454839297879;1.19179559437295;0.529744048516513;0.0546664215295361;0.0316917672487212;0.243457176281567;0.0154040162064705;0;65.3356333448497;32.4247728360354;1.54651555007814;0.37642023608944;0.316658032947362;0;0.693078269036802;97.760406180885
M5T15;280;217;66;5;2;1;571;0;49.0367775831874;38.0035026269702;11.5586690017513;0.875656742556918;0.350262697022767;0.175131348511384;571;449.922092127846;422.145594284721;1.21195409954404;0.536815128360553;0.0546589300043317;0.0256529471900965;0.227046698879326;0.0107822346719999;0;65.7469995465911;30.1953045428774;3.73887253400718;0.206124072063538;0.0812672474117715;0.0314320570489766;0.287391319475309;95.9423040894685
M3T30;322;204;20;7;1;0;554;0;58.1227436823105;36.8231046931408;3.6101083032491;1.26353790613718;0.180505415162455;0;554;465.890586422383;428.541839360113;1.18384337012601;0.542456890931365;0.0540723524756827;0.0632874691638228;0.241749945929482;0.010954377811356;0;71.6594711034912;26.9242110591909;1.04050957615063;0.335987430993269;0.0398208301740474;0;0.375808261167316;98.5836821626821
M5T20;282;241;30;9;10;0;572;0;49.3006993006993;42.1328671328671;5.24475524475525;1.57342657342657;1.74825174825175;0;572;439.23465059965;412.540226804144;1.18981738477098;0.523953976029954;0.0554313200286112;0.0243845273748104;0.248941717676179;0.0174582799178009;0;63.2541014573467;34.4390195944476;1.49425923425812;0.37197885996577;0.440640853981843;0;0.812619713947613;97.6931210517943
M1T15;222;225;27;12;9;0;495;0;44.8484848484849;45.4545454545455;5.45454545454545;2.42424242424242;1.81818181818182;0;495;424.315821983838;404.262071446142;1.19169830461813;0.515800592718783;0.05607101390709;0.00811592254076873;0.252753084409304;0.01949686298524;0;59.7972194473312;37.6806433814103;1.54825333057306;0.50827898618311;0.465604854502328;0;0.973883840685438;97.4778628287415
M4T15;297;176;19;5;1;0;498;0;59.6385542168675;35.3413654618474;3.81526104417671;1.00401606425703;0.200803212851406;0;498;480.654838271084;446.274020217088;1.18071370745073;0.553308150184962;0.0521174531776493;0.0822549524520891;0.236123654181409;0.00700502973480579;0;76.4698809549038;22.24508156636;0.970548697283241;0.268777338694329;0.0457114427587154;0;0.314488781453044;98.7149625212637
M1T7;327;208;24;7;4;0;570;0;57.3684210526316;36.4912280701754;4.21052631578947;1.2280701754386;0.701754385964912;0;570;463.739289966667;428.77781165786;1.18252267696252;0.540529867172029;0.0539160179167446;0.060285111131794;0.243694467849851;0.0115107967182005;0;70.8964023320524;27.4667095740127;1.15351990662733;0.325746908694842;0.157621278612771;0;0.483368187307613;98.3631119060651
M4T4;372;313;37;10;16;0;748;0;49.7326203208556;41.8449197860963;4.94652406417112;1.33689839572193;2.13903743315508;0;748;444.887456963904;415.618121937802;1.19209717197114;0.511731832404769;0.0568956453773117;0.00205342897041438;0.252268544892465;0.0231164380497341;0;58.7416161864865;38.6559946632387;1.66071489618074;0.328522997402707;0.613151256691319;0;0.941674254094025;97.3976108497252
M8T15;385;254;28;7;8;0;682;0;56.4516129032258;37.2434017595308;4.10557184750733;1.02639296187683;1.17302052785924;0;682;462.538069565982;421.678044200583;1.18714155197991;0.5323330607896;0.0547915507950973;0.0418992219846155;0.245518023389741;0.0150677592302165;0;66.5118124080095;31.5348962147262;1.37474539497051;0.246838266732331;0.331707715561477;0;0.578545982293808;98.0467086227357
M1T90;388;300;34;8;11;0;741;0;52.361673414305;40.4858299595142;4.58839406207827;1.07962213225371;1.48448043184885;0;741;451.966360249663;415.357155666774;1.20741804570224;0.516125012092695;0.0551364107157798;-0.00975878936951018;0.243189613571827;0.020125653217158;0;60.2830223585647;35.7364950073878;3.27741915792865;0.287719210352143;0.415344265766723;0;0.703063476118866;96.0195173659525
