ID;Treatment;Time;Rep1;Rep2;Rep3;Mean
M5T274;M5;274;18.9714285714286;18.3928571428571;18.3285714285714;18.5642857142857
M5T548;M5;548;17.1642857142857;NA;NA;17.1642857142857
M6T0;M6;0;17.2785714285714;17.0928571428571;16.6571428571429;17.0095238095238
M6T4;M6;4;16.5928571428571;16.3785714285714;16.4642857142857;16.4785714285714
M6T7;M6;7;17.15;17.0071428571429;17.1928571428571;17.1166666666667
M6T10;M6;10;18.55;18.9571428571429;18.2;18.5690476190476
M6T16;M6;16;17.05;16.95;16.9142857142857;16.9714285714286
M6T21;M6;21;17.1142857142857;17.0428571428571;16.7785714285714;16.9785714285714
M6T25;M6;25;18.2142857142857;17.9428571428571;18.2357142857143;18.1309523809524
M6T31;M6;31;17.6;17.2214285714286;17.5142857142857;17.4452380952381
M6T61;M6;61;17.85;18.3785714285714;18.3142857142857;18.1809523809524
M6T92;M6;92;18.5642857142857;18.1714285714286;NA;18.3678571428571
M6T183;M6;183;18.7142857142857;19.2785714285714;19.6428571428571;19.2119047619048
M6T274;M6;274;19.6142857142857;19.4142857142857;19.2214285714286;19.4166666666667
M6T548;M6;548;18.5642857142857;NA;NA;18.5642857142857
